term_id	ontology	label	definition	synonyms	deprecated	directly_referenced	label_only
BTO:0000000	BTO	tissues, cell types and enzyme sources	A structured controlled vocabulary for the source of an enzyme. It comprises terms of tissues, cell lines, cell types and cell cultures from uni- and multicellular organisms.			FALSE	FALSE
BTO:0000001	BTO	culture condition:-induced cell				FALSE	FALSE
BTO:0000002	BTO	culture condition:1,4-dichlorobenzene-grown cell				FALSE	FALSE
BTO:0000003	BTO	intestinal cell line				FALSE	FALSE
BTO:0000004	BTO	culture condition:2,5-dihydroxybenzoate-grown cell				FALSE	FALSE
BTO:0000005	BTO	culture condition:2-aminobenzenesulfonate-grown cell				FALSE	FALSE
BTO:0000006	BTO	osteoblastoma cell	A benign tumor cell of bone.			FALSE	FALSE
BTO:0000007	BTO	HEK-293 cell	Established from a human primary embryonal kidney transformed by adenovirus type 5.			FALSE	FALSE
BTO:0000008	BTO	culture condition:3-chlorobenzoate-grown cell				FALSE	FALSE
BTO:0000009	BTO	culture condition:3-hydroxybenzoate-grown cell				FALSE	FALSE
BTO:0000010	BTO	culture condition:3-methylcrotonoyl-CoA-grown cell				FALSE	FALSE
BTO:0000011	BTO	3T3-L1 cell	L1 is a continuous substrain of 3T3 Swiss albino developed through clonal isolation. Cells undergo a pre-adipose to adipose like conversion as they progress from a rapidly dividing to a confluent and contact inhibited state. A high serum content in the medium enhances fat accumulation.			FALSE	FALSE
BTO:0000012	BTO	culture condition:4-(methoxymethyl)phenol-grown cell				FALSE	FALSE
BTO:0000013	BTO	culture condition:4-chlorophenol-grown cell				FALSE	FALSE
BTO:0000014	BTO	culture condition:4-hydroxybenzoate-grown cell				FALSE	FALSE
BTO:0000015	BTO	culture condition:4-methylmuconolactone-grown cell				FALSE	FALSE
BTO:0000016	BTO	A-172 cell	Human brain glioblastoma cell line. Established from a 53 year old man.			FALSE	FALSE
BTO:0000017	BTO	A-431 cell	Human epidermoid carcinoma established from the solid tumor of an 85-year-old woman; cells were reported to have large numbers of EGF binding sites; cell line was used as indicator cell line for anti-TGF binding.			FALSE	FALSE
