identifier	requested_label	parent_class	parent_label	definition	exact_synonym	curator	date	notes	parent_mode
habitatmech:GOLD.cd0b0940e5	human-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a human.	Mammals: Human|human host	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. This is the single largest ungrounded concept in the corpus.	ADD
habitatmech:GOLD.e889967f4f	mammal-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a mammal.	Mammals	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:GOLD.47e603cf4f	bird-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a bird.	Birds	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:GOLD.dba2a83b95	insect-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by an insect.	Arthropoda: Insects	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:GOLD.3d529a667e	fish-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a fish.	Fish	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:GOLD.4d792ac724	invertebrate-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by an invertebrate.	Invertebrates	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. Invertebrate is a grade rather than a clade, but it is the grouping both sources use and the request records that rather than inventing a taxonomy they do not have.	ADD
habitatmech:GOLD.2959225799	crustacean-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a crustacean.	Arthropoda: Crustaceans	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:GOLD.2333d6225a	myriapod-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a myriapod.	Arthropoda: Myriapoda	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	ADD
habitatmech:BACDIVE.3192a0f47e	tree-associated environment	ENVO:01001001	plant-associated environment	An environmental system determined by a tree.	Tree	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to plant-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. Parented to plant-associated environment rather than the organism root, since a tree is a plant.	ADD
habitatmech:GOLD.45a8229be1	nematode-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a nematode.	Nematoda	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD organises host-associated isolates by host and every anatomical path hangs off it. Not grounded to the parent, because every clade would then merge onto one record. Same pattern ENVO already has at plant-, animal- and fungi-associated environment. 	ADD
habitatmech:GOLD.1b11698aaa	reptile-associated environment	ENVO:01001002	animal-associated environment	An environmental system determined by a reptile.	Reptilia	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD organises host-associated isolates by host and every anatomical path hangs off it. Not grounded to the parent, because every clade would then merge onto one record. Same pattern ENVO already has at plant-, animal- and fungi-associated environment. kg-microbe maps this to NCBITaxon:8504 Lepidosauria, which is over-narrow — it excludes turtles and crocodilians that Reptilia covers — so the taxon route does not solve it either.	ADD
habitatmech:GOLD.184623c963	microbe-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by a microorganism.	Microbial	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD organises host-associated isolates by host and every anatomical path hangs off it. Not grounded to the parent, because every clade would then merge onto one record. Same pattern ENVO already has at plant-, animal- and fungi-associated environment. A microorganism as host for another microbe. ENVO's organism-determined branch has plant, animal and fungi children but nothing for a microbial host, which is the commonest host of all in this corpus's sources.	ADD
habitatmech:GOLD.029baaef9e	bacterium-associated environment	ENVO:01001000	environmental system determined by an organism	An environmental system determined by a bacterium.	Bacteria	claude-opus-5	2026-08-16	The habitat is the host clade, and it is the entire content of the concept: GOLD organises host-associated isolates by host and every anatomical path hangs off it. Not grounded to the parent, because every clade would then merge onto one record. Same pattern ENVO already has at plant-, animal- and fungi-associated environment. GOLD's child of Microbial. Parented to the organism root here because its natural parent, microbe-associated environment, is requested in this same batch and does not exist yet — editors should re-parent it if both are minted.	ADD
